timestamp,log_type,message,stacktrace
0.3533334,Log,[<b><color=#AD477C>UXF</color></b>] Beginning session.,UnityEngine.Debug:Log (object).  UXF.Utilities:UXFDebugLog (string) (at Assets/UXF/Scripts/Etc/Utilities.cs:13).  UXF.Session:Begin (stringstringintSystem.Collections.Generic.Dictionary`2<string object>UXF.Settings) (at Assets/UXF/Scripts/Session.cs:317).  UXF.UI.UIController/<AutoBeginSessionSequence>d__41:MoveNext () (at Assets/UXF/Scripts/UI/UIController.cs:205).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
0.3533334,Warning,[<b><color=#AD477C>UXF</color></b>] An item in the Tracked Objects field of the UXF session if empty (null)!,UnityEngine.Debug:LogWarning (object).  UXF.Utilities:UXFDebugLogWarning (string) (at Assets/UXF/Scripts/Etc/Utilities.cs:14).  UXF.Trial:Begin () (at Assets/UXF/Scripts/Etc/Trial.cs:106).  UXF.Session:BeginNextTrial () (at Assets/UXF/Scripts/Session.cs:398).  UnityEngine.Events.UnityEvent`1<UXF.Session>:Invoke (UXF.Session).  UXF.Session:Begin (stringstringintSystem.Collections.Generic.Dictionary`2<string object>UXF.Settings) (at Assets/UXF/Scripts/Session.cs:320).  UXF.UI.UIController/<AutoBeginSessionSequence>d__41:MoveNext () (at Assets/UXF/Scripts/UI/UIController.cs:205).  UnityEngine.SetupCoroutine:InvokeMoveNext (System.Collections.IEnumeratorintptr).  
2.621928,Log,Clicked cube number 0!,UnityEngine.Debug:LogFormat (stringobject[]).  UXFExamples.Example_CorsiCubeGroup:RegisterClick (int) (at Assets/UXF/Examples/4_CorsiBlock/Scripts/Example_CorsiCubeGroup.cs:90).  UXFExamples.Example_CorsiCube:OnMouseDown () (at Assets/UXF/Examples/4_CorsiBlock/Scripts/Example_CorsiCube.cs:48).  UnityEngine.SendMouseEvents:DoSendMouseEvents (int).  
3.108234,Log,Clicked cube number 1!,UnityEngine.Debug:LogFormat (stringobject[]).  UXFExamples.Example_CorsiCubeGroup:RegisterClick (int) (at Assets/UXF/Examples/4_CorsiBlock/Scripts/Example_CorsiCubeGroup.cs:90).  UXFExamples.Example_CorsiCube:OnMouseDown () (at Assets/UXF/Examples/4_CorsiBlock/Scripts/Example_CorsiCube.cs:48).  UnityEngine.SendMouseEvents:DoSendMouseEvents (int).  
5.948075,Warning,[<b><color=#AD477C>UXF</color></b>] An item in the Tracked Objects field of the UXF session if empty (null)!,UnityEngine.Debug:LogWarning (object).  UXF.Utilities:UXFDebugLogWarning (string) (at Assets/UXF/Scripts/Etc/Utilities.cs:14).  UXF.Trial:End () (at Assets/UXF/Scripts/Etc/Trial.cs:140).  UXFExamples.Example_CorsiCubeGroup:Confirm () (at Assets/UXF/Examples/4_CorsiBlock/Scripts/Example_CorsiCubeGroup.cs:144).  UnityEngine.EventSystems.EventSystem:Update () (at D:/Program Files/2020.3.0f1/Editor/Data/Resources/PackageManager/BuiltInPackages/com.unity.ugui/Runtime/EventSystem/EventSystem.cs:385).  
6.940186,Warning,[<b><color=#AD477C>UXF</color></b>] An item in the Tracked Objects field of the UXF session if empty (null)!,UnityEngine.Debug:LogWarning (object).  UXF.Utilities:UXFDebugLogWarning (string) (at Assets/UXF/Scripts/Etc/Utilities.cs:14).  UXF.Trial:Begin () (at Assets/UXF/Scripts/Etc/Trial.cs:106).  UXF.Session:BeginNextTrial () (at Assets/UXF/Scripts/Session.cs:398).  UXF.Session:BeginNextTrialSafe () (at Assets/UXF/Scripts/Session.cs:408).  
8.820378,Log,Clicked cube number 0!,UnityEngine.Debug:LogFormat (stringobject[]).  UXFExamples.Example_CorsiCubeGroup:RegisterClick (int) (at Assets/UXF/Examples/4_CorsiBlock/Scripts/Example_CorsiCubeGroup.cs:90).  UXFExamples.Example_CorsiCube:OnMouseDown () (at Assets/UXF/Examples/4_CorsiBlock/Scripts/Example_CorsiCube.cs:48).  UnityEngine.SendMouseEvents:DoSendMouseEvents (int).  
9.412194,Log,Clicked cube number 1!,UnityEngine.Debug:LogFormat (stringobject[]).  UXFExamples.Example_CorsiCubeGroup:RegisterClick (int) (at Assets/UXF/Examples/4_CorsiBlock/Scripts/Example_CorsiCubeGroup.cs:90).  UXFExamples.Example_CorsiCube:OnMouseDown () (at Assets/UXF/Examples/4_CorsiBlock/Scripts/Example_CorsiCube.cs:48).  UnityEngine.SendMouseEvents:DoSendMouseEvents (int).  
11.03704,Warning,[<b><color=#AD477C>UXF</color></b>] An item in the Tracked Objects field of the UXF session if empty (null)!,UnityEngine.Debug:LogWarning (object).  UXF.Utilities:UXFDebugLogWarning (string) (at Assets/UXF/Scripts/Etc/Utilities.cs:14).  UXF.Trial:End () (at Assets/UXF/Scripts/Etc/Trial.cs:140).  UXFExamples.Example_CorsiCubeGroup:Confirm () (at Assets/UXF/Examples/4_CorsiBlock/Scripts/Example_CorsiCubeGroup.cs:144).  UnityEngine.EventSystems.EventSystem:Update () (at D:/Program Files/2020.3.0f1/Editor/Data/Resources/PackageManager/BuiltInPackages/com.unity.ugui/Runtime/EventSystem/EventSystem.cs:385).  
12.02124,Warning,[<b><color=#AD477C>UXF</color></b>] An item in the Tracked Objects field of the UXF session if empty (null)!,UnityEngine.Debug:LogWarning (object).  UXF.Utilities:UXFDebugLogWarning (string) (at Assets/UXF/Scripts/Etc/Utilities.cs:14).  UXF.Trial:Begin () (at Assets/UXF/Scripts/Etc/Trial.cs:106).  UXF.Session:BeginNextTrial () (at Assets/UXF/Scripts/Session.cs:398).  UXF.Session:BeginNextTrialSafe () (at Assets/UXF/Scripts/Session.cs:408).  
